目标转债代码,目标转债名称,logit_l2,ridge_alpha,probability_weight,prob_cal_window,price_cal_window,n,mae,rmse,bias,within5,within10,noncap_n,noncap_mae,是否入选
111026.SH,派克转债,0.3,1.0,0.0,0,40,178,6.5230702658736766,9.85218190840794,-2.574355306621218,0.5393258426966292,0.7865168539325843,111,5.561603083195219,False
111026.SH,派克转债,0.3,1.0,0.0,0,60,178,6.652486089136408,9.884520813663771,-2.5329131162114424,0.5280898876404494,0.7921348314606742,111,5.820973950458861,False
111026.SH,派克转债,0.3,1.0,0.05,0,0,178,6.600403686061166,9.504030395847986,-1.7328820610590865,0.4606741573033708,0.797752808988764,111,5.824652724512297,False
111026.SH,派克转债,0.3,1.0,0.05,0,20,178,6.449606238567287,9.734331015614929,-2.344586448312638,0.5337078651685393,0.7808988764044944,111,5.628962461617141,False
111026.SH,派克转债,0.3,1.0,0.05,0,40,178,6.4428850127326225,9.771193900532928,-2.5253981134370607,0.5337078651685393,0.797752808988764,111,5.497083933750811,False
111026.SH,派克转债,0.3,1.0,0.05,0,60,178,6.56664337721074,9.805999719875597,-2.5057064522191386,0.5393258426966292,0.8033707865168539,111,5.730856810797395,False
111026.SH,派克转债,0.3,1.0,0.1,0,0,178,6.521670398401634,9.440628594698081,-1.704648699418697,0.449438202247191,0.8089887640449438,111,5.751671663512351,False
111026.SH,派克转债,0.3,1.0,0.1,0,20,178,6.372984004553667,9.665429470426542,-2.3268262664105213,0.5449438202247191,0.7921348314606742,111,5.55068491904541,False
111026.SH,派克转债,0.3,1.0,0.1,0,40,178,6.366084762239071,9.7044723628837,-2.4955240481914305,0.5393258426966292,0.797752808988764,111,5.427090572213171,False
111026.SH,派克转债,0.3,1.0,0.1,0,60,178,6.484530150937501,9.740354220042422,-2.4764925768665424,0.550561797752809,0.8033707865168539,111,5.649588174591049,False
111026.SH,派克转债,0.3,1.0,0.15,0,0,178,6.443951881113659,9.382950653319423,-1.6764153377783193,0.4550561797752809,0.8258426966292135,111,5.680317891937054,False
111026.SH,派克转债,0.3,1.0,0.15,0,20,178,6.294341250464139,9.601560588457607,-2.3025408102429883,0.5561797752808989,0.7921348314606742,111,5.474877171478524,False
111026.SH,派克转债,0.3,1.0,0.15,0,40,178,6.293690260782215,9.642776998378437,-2.474146845844501,0.5561797752808989,0.8033707865168539,111,5.364788473669642,False
111026.SH,派克转债,0.3,1.0,0.15,0,60,178,6.405710491169564,9.681965277380007,-2.4462438259304466,0.5561797752808989,0.8033707865168539,111,5.57335889636971,False
111026.SH,派克转债,0.3,1.0,0.2,0,0,178,6.371452115211099,9.33110271425577,-1.6481819761379273,0.4606741573033708,0.8370786516853933,111,5.617332928889728,False
111026.SH,派克转债,0.3,1.0,0.2,0,20,178,6.216574333279986,9.548613728822426,-2.2825843814239084,0.550561797752809,0.8033707865168539,111,5.396502403675574,False
111026.SH,派克转债,0.3,1.0,0.2,0,40,178,6.226274349175186,9.582013564018045,-2.4392484167072603,0.5449438202247191,0.8033707865168539,111,5.3142546391633525,False
111026.SH,派克转债,0.3,1.0,0.2,0,60,178,6.325918835849108,9.621874481331318,-2.4012128710875995,0.5617977528089888,0.8089887640449438,111,5.4984573739087885,False
111026.SH,派克转债,0.3,1.0,0.25,0,0,178,6.302926855229066,9.285182441240622,-1.6199486144975515,0.4943820224719101,0.848314606741573,111,5.5607214978590935,False
111026.SH,派克转债,0.3,1.0,0.25,0,20,178,6.147312157397695,9.500875697274695,-2.252692078209265,0.5730337078651685,0.797752808988764,111,5.335191433199154,False
111026.SH,派克转债,0.3,1.0,0.25,0,40,178,6.165917335829041,9.545129438450555,-2.412536507954301,0.5561797752808989,0.8089887640449438,111,5.264372880122416,False
111026.SH,派克转债,0.3,1.0,0.25,0,60,178,6.257636094199859,9.579791461800816,-2.35564414799599,0.5617977528089888,0.8146067415730337,111,5.440751826107886,False
111026.SH,派克转债,0.3,1.0,0.3,0,0,178,6.235478672086721,9.245278160878808,-1.591715252857175,0.5,0.8426966292134831,111,5.505837271129941,False
111026.SH,派克转债,0.3,1.0,0.3,0,20,178,6.085520728162686,9.452937347375466,-2.220611201399175,0.5674157303370787,0.8089887640449438,111,5.288093712661372,False
111026.SH,派克转债,0.3,1.0,0.3,0,40,178,6.10090291157201,9.520594707801093,-2.383651655375732,0.5730337078651685,0.8089887640449438,111,5.202896974658145,False
111026.SH,派克转债,0.3,1.0,0.3,0,60,178,6.185825777809598,9.54921902875909,-2.3322208254786267,0.5786516853932584,0.8146067415730337,111,5.375389728315189,False
111026.SH,派克转债,0.3,1.0,0.35,0,0,178,6.169626213285733,9.211468057735955,-1.5634818912167867,0.5112359550561798,0.8370786516853933,111,5.453511953704952,False
111026.SH,派克转债,0.3,1.0,0.35,0,20,178,6.026059257354669,9.411966446814176,-2.195544795808186,0.5842696629213483,0.8033707865168539,111,5.238782439012424,False
111026.SH,派克转债,0.3,1.0,0.35,0,40,178,6.040458250524795,9.519163542147545,-2.367444436163799,0.5786516853932584,0.8146067415730337,111,5.140323989123597,False
111026.SH,派克转债,0.3,1.0,0.35,0,60,178,6.123657411241355,9.52763459693103,-2.2991963587049824,0.5842696629213483,0.8258426966292135,111,5.330587496336615,False
111026.SH,派克转债,0.3,1.0,0.4,0,0,178,6.1101607749554745,9.183819438943944,-1.5352485295764031,0.5112359550561798,0.8314606741573034,111,5.411428885323114,False
111026.SH,派克转债,0.3,1.0,0.4,0,20,178,5.9719520867421885,9.381609348368633,-2.1707079810016925,0.5955056179775281,0.797752808988764,111,5.193394435651232,False
111026.SH,派克转债,0.3,1.0,0.4,0,40,178,5.9827311853522795,9.523030265747092,-2.3515664594504653,0.5842696629213483,0.8258426966292135,111,5.0802991759861875,False
111026.SH,派克转债,0.3,1.0,0.4,0,60,178,6.055416709094311,9.506021590875672,-2.26722140505229,0.5955056179775281,0.8314606741573034,111,5.277151089849291,False
111026.SH,派克转债,0.3,1.0,0.45,0,0,178,6.054725430033491,9.162388083754543,-1.507015167936016,0.5337078651685393,0.8258426966292135,111,5.375808489253647,False
111026.SH,派克转债,0.3,1.0,0.45,0,20,178,5.923222312358878,9.36115959446487,-2.1468192727919297,0.601123595505618,0.797752808988764,111,5.151284692543013,False
111026.SH,派克转债,0.3,1.0,0.45,0,40,178,5.926750448528609,9.518062978903467,-2.3268602186357272,0.6123595505617978,0.8258426966292135,111,5.028118253111002,False
111026.SH,派克转债,0.3,1.0,0.45,0,60,178,5.981581329524179,9.477886398378217,-2.2322125082084225,0.601123595505618,0.8314606741573034,111,5.218239941340338,False
111026.SH,派克转债,0.3,1.0,0.5,0,0,178,5.999804009417516,9.147217692243775,-1.4787818062956382,0.5449438202247191,0.8146067415730337,111,5.34101222405327,False
111026.SH,派克转债,0.3,1.0,0.5,0,20,178,5.874353574016572,9.345375919600063,-2.1222105203150914,0.5955056179775281,0.7921348314606742,111,5.112031236924041,False
111026.SH,派克转债,0.3,1.0,0.5,0,40,178,5.874642060707465,9.51232607391046,-2.2933911274528014,0.6123595505617978,0.8258426966292135,111,4.985944778774071,False
111026.SH,派克转债,0.3,1.0,0.5,0,60,178,5.912365640330484,9.467441046746384,-2.2107590833848345,0.6067415730337079,0.8314606741573034,111,5.1504927689737166,False
111026.SH,派克转债,0.3,1.0,0.55,0,0,178,5.945616846818549,9.138339445601456,-1.450548444655256,0.550561797752809,0.8033707865168539,111,5.3073934176549455,False
111026.SH,派克转债,0.3,1.0,0.55,0,20,178,5.8288882192810085,9.343747312759412,-2.0991229391165214,0.6179775280898876,0.7865168539325843,111,5.080194383270662,False
111026.SH,派克转债,0.3,1.0,0.55,0,40,178,5.818461068585926,9.503320818067355,-2.268452237026982,0.6235955056179775,0.8314606741573034,111,4.934038555860283,False
111026.SH,派克转债,0.3,1.0,0.55,0,60,178,5.847592321421562,9.458129871471357,-2.20606394639734,0.6123595505617978,0.8314606741573034,111,5.080493690486345,False
111026.SH,派克转债,0.3,1.0,0.6,0,0,178,5.893861498007326,9.135771688179453,-1.422315083014874,0.5617977528089888,0.8033707865168539,111,5.277674276609939,False
111026.SH,派克转债,0.3,1.0,0.6,0,20,178,5.78445252272396,9.345652778962188,-2.077470800535413,0.6235955056179775,0.7921348314606742,111,5.047542616223469,False
111026.SH,派克转债,0.3,1.0,0.6,0,40,178,5.768191759303136,9.505747507484491,-2.241358285908888,0.6348314606741573,0.8370786516853933,111,4.895899274397703,False
111026.SH,派克转债,0.3,1.0,0.6,0,60,178,5.790606158296936,9.453410550166833,-2.193456572569576,0.6179775280898876,0.8370786516853933,111,5.030133093303628,False
111026.SH,派克转债,0.3,1.0,0.65,0,0,178,5.842322026510702,9.139519738794522,-1.3940817213744916,0.5617977528089888,0.8033707865168539,111,5.248301317204556,False
111026.SH,派克转债,0.3,1.0,0.65,0,20,178,5.743509155206146,9.34794559315779,-2.051605279667183,0.6235955056179775,0.8033707865168539,111,5.018262095138773,False
111026.SH,派克转债,0.3,1.0,0.65,0,40,178,5.71071334598966,9.507572120796008,-2.2199251011009964,0.6460674157303371,0.8314606741573034,111,4.850617400293876,False
111026.SH,派克转债,0.3,1.0,0.65,0,60,178,5.754634510740505,9.46830973171559,-2.1876714652778824,0.6292134831460674,0.8314606741573034,111,4.998018342099448,False
